who,role,identity,effective_slash_planck,effective_slash_token
1WG3jyNqniQMRZGQUc7QD2kVLT8hkRPGMSqAb5XYQM1UDxN,RunnerUp,DokiaCapital,1252580000000,1.2525 DOT (old)
1dGsgLgFez7gt5WjX2FYzNCJtaCjGG6W9dA42d9cHngDYGg,RunnerUp,0x447261676f6e5374616b6520f09f90b2,1607240000000,1.6072 DOT (old)
1hJdgnAPSjfuHZFHzcorPnFvekSHihK9jdNPWHXgeuL7zaJ,RunnerUp,Listen,1252580000000,1.2525 DOT (old)
1rwgen2jqJNNg7DpUA4jBvMjyepgiFKLLm3Bwt8pKQYP8Xf,RunnerUp,Chevdor,1252580000000,1.2525 DOT (old)
12Vv2LsLCvPKiXdoVGa3QSs2FMF8zx2c8CPTWwLAwfYSFVS1,RunnerUp,Polkascan Foundation,4252580000000,4.2525 DOT (old)
12mP4sjCfKbDyMRAEyLpkeHeoYtS5USY4x34n9NMwQrcEyoh,Members,polkaworld,1202580000000,1.2025 DOT (old)
13pdp6ALhYkfEBqBM98ztL2Xhv4MTkm9rZ9vyjyXSdirJHx6,RunnerUp,Cryptium Labs,2806820000000,2.8068 DOT (old)
15akrup6APpRegG1TtWkYVuWHYc37tJ8XPN61vCuHQUi65Mx,RunnerUp,akru,1407820000000,1.4078 DOT (old)
12Y8b4C9ar162cBgycxYgxxHG7cLVs8gre9Y5xeMjW3izqer,Members,Acala Foundation,1202910000000,1.2029 DOT (old)
12xG1Bn4421hUQAxKwZd9WSxZCJQwJBbwr6aZ4ZxvuR7A1Ao,RunnerUp,undefined,1000000000000,1.0000 DOT (old)
15BQUqtqhmqJPyvvEH5GYyWffXWKuAgoSUHuG1UeNdb8oDNT,RunnerUp,HashQuark,1804170000000,1.8041 DOT (old)
14krbTSTJv3aaT1VeBRX7CzoV4crr3adeF3KutdpkCttrxsZ,RunnerUp,undefined,1000000000000,1.0000 DOT (old)
1RG5T6zGY4XovW75mTgpH6Bx7Y6uwwMmPToMCJSdMwdm4EW,RunnerUp,IOSG Ventures,1603640000000,1.6036 DOT (old)
128qRiVjxU3TuT37tg7AX99zwqfPtj2t4nDKUv9Dvi5wzxuF,RunnerUp,Bruno,1266880000000,1.2668 DOT (old)
12xGDBh6zSBc3D98Jhw9jgUVsK8jiwGWHaPTK21Pgb7PJyPn,RunnerUp,Hypersphere,1402990000000,1.4029 DOT (old)
13Gdmw7xZQVbVoojUCwnW2usEikF2a71y7aocbgZcptUtiX9,RunnerUp,ROB,1202580000000,1.2025 DOT (old)
15aKvwRqGVAwuBMaogtQXhuz9EQqUWsZJSAzomyb5xYwgBXA,None,0x4a414d20e298a0efb88ff09f908d,1452990000000,1.4529 DOT (old)
14mSXQeHpF8NT1tMKu87tAbNDNjm7q9qh8hYa7BY2toNUkTo,RunnerUp,Bjorn,1452990000000,1.4529 DOT (old)
15MUBwP6dyVw5CXF9PjSSv7SdXQuDSwjX86v1kBodCSWVR7c,RunnerUp,undefined,2050000000000,2.0500 DOT (old)
167rjWHghVwBJ52mz8sNkqr5bKu5vpchbc9CBoieBhVX714h,Members,QinWen,1000000000000,1.0000 DOT (old)
