era,phragmen(5),time(ms),phragmms(5),time(ms)
1204,4762904356186573,1963,5340226835369519,8697
1203,4496304120712498,2002,5118904499894626,9242
1202,4945826927193200,2109,5335502733744433,9852
1201,5341013842995947,1887,5805073458127107,8412
1200,4763025115238594,1837,5394428214758336,8421
1199,4760788504758263,2112,5340900293367506,10425
1198,4605175002866132,1744,5118904499894626,8951
1197,4586747887219972,1624,5087917263130554,8437
1196,4586914983652810,1598,5319844429846647,7927
1195,4587614235597000,1685,5087917263130554,8966
1194,4927271234385160,1780,5394428214758336,8749
1193,4742635996973873,1738,5149990142266262,8489
1192,4927300739389553,2043,5316606327244090,10950
1191,4927765035313511,1677,5332311625298313,8915
1190,4744786437162256,1605,5319844429846647,8003
1189,4743028843446085,1882,5319844429846647,9928
1188,4510000000000000,1505,4510000000000000,8192
1187,3786918723591530,1811,4038531555447392,9909
1186,4328050303333292,1796,4265581709915809,9445
1185,4266681465015095,1640,4265581709915809,8721
1184,4039503412318358,1789,4265581709915809,9167
1183,4266680644469638,1473,4559258068207828,7893
1182,4590020069425656,1532,5092367012553445,7500
1181,4328964257964740,1475,4739552018694897,7846
1180,4266680632576267,1574,4739552018694897,8363
1179,4266680645407386,1420,4265581709915809,7915
1178,4266680645371746,1490,4265581709915809,7954
1177,4266680644641926,1621,4265581709915809,8726
1176,4266680644565156,1559,4265581709915809,8049
1175,4266680645165606,1593,4265581709915809,8277
1174,4266680642781846,1629,4319615602139999,8392
1173,4266680647791018,1470,4739552018694897,7936
1172,4266680644583286,1385,4651877416437703,7606
1171,4653180188532000,1469,4319615602139999,7295
1170,4653180190242000,1646,4319615602139999,8870
1169,4653487992077000,1666,4319615602139999,9346
1168,4321131729535969,1311,4319615602139999,7649
1167,4321131709164591,1511,4652165400167849,8465
1166,5041237011405000,1578,5039948433514108,8313
1165,5333100804121151,1636,5332311625298313,9057
1164,5333100804207561,1566,5040041099965589,8405
1163,5043653665537000,1773,5042227782807485,9152
1162,5043320215635129,1838,5041903784237430,10142
1161,5333100801580661,1513,5332311625298313,8316
1160,4322631604918026,1207,4653740100709545,6942
1159,4655103271198428,1305,4653740100709545,6913
1158,5042986879052286,1242,5041615800507284,6609
1157,5333100801989871,1342,5332311625298313,7022
1156,5003070210480940,1219,5001748920424201,6611
1155,5333100809382925,1338,5001748920424201,7377
1154,5333100806091834,1406,5332311625298313,7245
1153,5333100805677854,1312,5332311625298313,7122
1152,5694868282864827,1406,5694546396658274,7582
1151,5332799235056018,1351,5331724152942908,7085
1150,5694868266899186,1371,5694546396658274,7105
1149,5608261812933721,1321,6093675797902899,6684
1148,5694868273860241,1271,6093675797902899,6405
1147,5692775161145694,1378,6093675797902899,7063
1146,5692775837997602,1371,6093675797902899,7594
1145,5692760890674261,1207,5692373423361562,6261
1144,5692775073568018,1219,6022088096835513,6500
1143,5638976607457100,1292,6022088096835513,6713
1142,5638975907662790,1330,5638506652933547,6878
1141,5638975520208193,1213,5638653340962844,6559
1140,5619974965908672,1205,5619636583504997,6412
1139,5619977107553074,1285,5619789143205921,7201
1138,5619976210017873,1329,6369331107118334,6659
1137,5619975110720885,1199,6378426252937283,6163
1136,5619975646184885,1207,6378426252937283,6397
1135,5619975487343885,1206,6378490005340658,6667
1134,5619976101126873,1203,6613547798181066,6430
1133,5619976856370873,1188,6637301354803779,6368
1132,5619976321508885,1231,6378490005340658,7140
1131,5619986002728395,1282,6112794956893263,7268
1130,5619987268550885,1267,6378490005340658,6489
1129,5619981454202074,1048,6659827412622947,5553
1128,5869828584065509,998,6659711997037301,5329
1127,5869821739420740,986,6659121240558480,5360
1126,5869838515124406,981,6659711997037301,5288
1125,5869838689982880,966,7302532883192187,5349
1124,5869833475202880,939,7306188932927608,5443
1123,5869803938760515,949,7306323163195239,5239
1122,5869825295800521,942,7467788888542489,5269
1121,5869828664051307,927,7467788888542489,5096
1120,5869839309362880,917,7467788888542489,5185
1119,6640846835868000,921,7466456281431405,5125
1118,6640871013119292,939,7686613344014649,5114
1117,6640801601648000,914,7632682843614348,5086
1116,5869775177541722,811,6955678997356847,4884
1115,5869427952836661,867,7221182021753841,5067
1114,5869427954374659,886,6954380750743877,4963
1113,4695538091512217,880,5640121110748712,5122
1112,5869368392724897,919,6638949683375296,5144
1111,7049530403904450,974,7789069474760088,5208
1110,7402202617511000,958,7825762674982834,5193
1109,7389666576127980,1016,7955245815976196,5162
1108,7825804741568260,1027,9234384565499351,5182
1107,7825804741568260,1026,9235455828577699,5248
1106,7955610254579200,1123,9313736589102149,5140
1105,7955610254579200,1064,9051431067368582,5035
1104,8693909206286121,1023,9546730000000000,4841
1103,9236866511338000,1031,9546730000000000,4756
1102,9236820493083577,1128,9546730000000000,4620
1101,9546732386680000,1046,9603814062857607,4720
1100,9236832318760631,1030,10001000000000000,4758
1099,9546732386680000,1027,10001000000000000,4777
1098,9546732386680000,1023,10001000000000000,4702
1097,9546732386680000,1053,10001000000000000,4664
1096,9546732386680000,1018,10001000000000000,4711
1095,8669428488431000,953,9546730000000000,4498
1094,9546732386680000,982,10001980000000000,4557
1093,9546732386680000,1059,10001780000000000,4477
1092,9440229819534516,994,10001000000000000,4690
1091,9546732386680000,948,10001000000000000,4635
1090,8336105616948490,970,9546730000000000,4465
1089,9211257040109726,954,9546730000000000,4672
1088,9220631952450000,958,9585849363990874,4716
1087,9220589418122939,1028,9587507666792640,5137
1086,9420028717208250,1156,9587507666792640,5771
1085,9420028717208250,1064,9584159853535240,5323
1084,9420028717208250,1045,9584159853535240,5287
1083,9420028717208250,1095,9582610831298959,5531
1082,9420028717208250,1038,9576171707361148,4946
1081,9420028717208250,1105,9576171707361148,5369
1080,9420028717208250,1060,9576171707361148,5200
1079,9420028717208250,1012,9576171707361148,5188
1078,9420028717208250,999,9419293936827649,5052
1077,9420028717208250,1028,9419293936827649,5312
1076,9420028717208250,980,10001000000000000,4554
1075,9420028717208250,1005,9419293936827649,4985
1074,9420028717208250,1120,9567638365812703,5443
1073,9420028717208250,1240,9567638365812703,6660
1072,8987078671292230,1033,9481991452658885,4954
1071,8974861166721105,937,9481991452658885,4473
1070,9482542475954400,1023,10001999000000000,4884
1069,9482542468008850,1005,10001999000000000,4759
1068,9482542463341600,983,10001999000000000,4955
1067,9482542462888300,933,10001999000000000,4710
1066,9248590738807124,1041,10001999000000000,4974
1065,9248590738807124,1039,10001999000000000,5399
1064,9248590738807124,1024,10001999000000000,5138
