era,phragmen(5),phragmms(5)
71,20911860135847163,20905510517139486
70,20896544574661258,20369771588137794
69,19485159615149007,19479530357701693
68,20010355899784545,20004677706569009
67,19383611001698384,20004677706569009
66,20010355915212704,20004677706569009
65,20010355950589227,20004677706569009
64,20010355881673059,20004677706569009
63,20010355963444368,20361764681162737
62,20010351000000000,20361764681162737
61,20010350860049948,20698389763383879
60,20695278176469110,20688241243524419
59,20010350800000000,20676768730121854
58,19045652710469247,19285661193174326
57,20000310000000000,20332956498054475
56,20000310000000000,20092833978229244
55,20000310000000000,19998574097810330
54,20000100000000000,19998574097810330
53,20000100000000000,19998574097810330
52,20000100000000000,19998574097810330
51,19923551219248400,19923551219248400
50,20000100000000000,19998574097810330
